id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost
2539,Kensington,40.64593716028213,-73.97216373838066,Private room in condo,Private room,2,1.0,2.0,113.97,4,34,64,339,10,4.8,0.08,60,6838.0,No
6848,Williamsburg,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,2.0,1.0,117.27,1,1,15,191,198,4.6,0.95,180,21109.0,Yes
6872,East Harlem,40.80107,-73.94255,Private room in condo,Private room,1,1.0,1.0,80.06,0,0,11,286,2,5.0,0.04,60,4804.0,No
6990,East Harlem,40.78778,-73.94759,Private room in rental unit,Private room,1,1.0,1.0,77.17,0,28,28,218,251,4.88,1.24,120,9260.0,Yes
7097,Fort Greene,40.69194,-73.97389,Private room in guest suite,Private room,2,1.0,2.0,202.47,0,0,0,106,423,4.89,2.12,255,51630.0,Yes
7801,Williamsburg,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2,1.0,1.0,365.97,0,0,11,68,13,4.92,0.06,60,21958.0,Yes
263005,Fort Greene,40.6974983215332,-73.97722625732422,Entire rental unit,Entire home/apt,4,3.0,3.0,154.87,13,43,61,61,129,4.67,0.73,0,0.0,No
263232,Harlem,40.82176,-73.94522,Entire rental unit,Entire home/apt,4,1.0,2.0,91.07,13,43,73,73,0,,0.0,0,0.0,No
263888,Upper West Side,40.79541778564453,-73.97563171386719,Entire condo,Entire home/apt,2,1.0,1.0,216.91500000000002,9,15,33,56,251,4.99,1.43,255,0.0,No
265145,Theater District,40.76253,-73.98365,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,8,4.88,0.05,0,0.0,No
265506,Upper East Side,40.7628,-73.9651,Entire rental unit,Entire home/apt,6,2.0,1.0,216.91500000000002,0,0,0,0,11,4.89,0.06,0,0.0,No
266449,Lower East Side,40.719482,-73.98877,Entire rental unit,Entire home/apt,4,2.0,2.0,159.77,0,0,25,230,88,4.64,0.51,255,40741.0,Yes
267376,Financial District,40.70867,-74.00303,Private room in loft,Private room,1,1.0,1.0,87.77,0,4,34,145,17,4.94,0.11,180,15799.0,No
267435,Rego Park,40.73333,-73.85933,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,25,4.96,0.19,0,0.0,No
267652,Flatbush,40.6447193,-73.966453,Private room in rental unit,Private room,1,1.0,1.0,72.0,0,2,2,79,66,4.97,0.5,240,17280.0,Yes
8490,Bedford-Stuyvesant,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5,1.0,4.0,193.03,5,17,26,255,189,4.77,0.92,0,0.0,No
9357,Hell's Kitchen,40.76724,-73.98664,Entire rental unit,Entire home/apt,2,1.0,1.0,148.04,0,12,42,61,58,4.52,0.29,0,0.0,No
115535,Harlem,40.82402,-73.95263,Private room in rental unit,Private room,1,1.0,1.0,43.86,1,1,1,90,34,4.76,0.19,0,0.0,No
115748,Astoria,40.76406,-73.92266,Entire rental unit,Entire home/apt,2,1.0,1.0,118.07,28,58,88,88,43,4.65,0.24,120,14168.0,No
116551,Harlem,40.80384,-73.95123,Entire rental unit,Entire home/apt,2,1.0,2.0,114.33,0,0,0,147,188,4.53,1.03,240,27439.0,Yes
118061,Bedford-Stuyvesant,40.68462,-73.92895,Entire rental unit,Entire home/apt,2,1.0,2.0,124.35,0,0,17,242,100,4.83,0.56,255,31709.0,Yes
125163,Bedford-Stuyvesant,40.68595,-73.92923,Entire guest suite,Entire home/apt,2,1.0,1.0,114.44,30,60,90,365,94,4.86,0.61,0,0.0,No
128975,Harlem,40.81127,-73.94561,Entire rental unit,Entire home/apt,5,1.0,2.0,113.03,12,24,54,54,134,4.64,0.73,180,20345.0,Yes
136493,Park Slope,40.67497,-73.97796,Private room in townhouse,Private room,3,2.0,2.0,432.0,3,11,30,30,55,4.87,0.33,90,38880.0,No
10452,Bedford-Stuyvesant,40.68294,-73.95682,Private room in rental unit,Private room,2,1.0,2.0,79.91,1,14,44,319,82,4.66,0.42,0,0.0,Yes
12192,East Village,40.72296,-73.98383,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,316,4.4,1.56,120,0.0,Yes
268335,Williamsburg,40.72136,-73.95674,Entire condo,Entire home/apt,2,1.0,1.0,115.92,0,0,0,242,1,5.0,0.01,0,0.0,No
268481,Williamsburg,40.7154,-73.94028,Entire condo,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
269283,Crown Heights,40.66385,-73.93229,Private room in rental unit,Private room,1,1.0,1.0,80.4,29,59,89,179,32,4.84,0.2,0,0.0,No
269404,Astoria,40.76716,-73.91177,Private room in rental unit,Private room,2,1.0,1.0,101.33,30,60,90,365,19,4.71,0.11,0,0.0,No
270139,Bushwick,40.70413,-73.92726,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,39,4.69,0.25,0,0.0,No
270231,Woodside,40.74496,-73.91167,Private room in rental unit,Private room,2,1.0,2.0,108.53,29,59,89,364,285,4.79,1.62,0,0.0,No
270345,East Village,40.72499,-73.99198,Entire rental unit,Entire home/apt,4,1.0,1.0,238.2,13,43,73,348,36,4.8,0.2,0,0.0,No
12937,Long Island City,40.74757,-73.94571,Private room in townhouse,Private room,2,1.0,2.0,359.67,9,24,40,172,483,4.92,2.48,255,91716.0,Yes
12940,Bedford-Stuyvesant,40.67946,-73.95417,Entire rental unit,Entire home/apt,2,1.0,1.0,153.6,4,10,40,292,81,4.59,0.4,60,9216.0,No
